149	7	     0             2.6457513111
150	8	     0             2.8284271247
151	2	     0             1.4142135624
152	8	     0             2.8284271247
153	6	     0             2.4494897428
154	6	     0             2.4494897428
155	8	     0             2.8284271247
156	7	     0             2.6457513111
157	8	     0             2.8284271247
158	8	     0             2.8284271247
159	3	     0             1.7320508076
160	7	     0             2.6457513111
161	8	     0             2.8284271247
162	6	     0             2.4494897428
163	8	     0             2.8284271247
164	3	     0             1.7320508076
165	7	     0             2.6457513111
166	9	     0             3
167	7	     0             2.6457513111
168	4	     0             2
169	8	     0             2.8284271247
170	5	     0             2.2360679775
171	9	     0             3
172	8	     0             2.8284271247
173	4	     0             2
174	6	     0             2.4494897428
175	6	     0             2.4494897428
176	7	     0             2.6457513111
177	5	     0             2.2360679775
178	9	     0             3
179	8	     0             2.8284271247
180	7	     0             2.6457513111
181	5	     0             2.2360679775
182	7	     0             2.6457513111
183	6	     0             2.4494897428
184	11	     0             3.3166247904
185	8	     0             2.8284271247
186	7	     0             2.6457513111
187	5	     0             2.2360679775
188	12	     0             3.4641016151
189	10	     0             3.1622776602
190	5	     0             2.2360679775
191	7	     0             2.6457513111
192	9	     0             3
193	9	     0             3
194	11	     0             3.3166247904
195	10	     0             3.1622776602
196	3	     0             1.7320508076
197	6	     0             2.4494897428
198	10	     0             3.1622776602
199	10	     0             3.1622776602
200	6	     0             2.4494897428
201	8	     0             2.8284271247
202	3	     0             1.7320508076
203	8	     0             2.8284271247
204	9	     0             3
205	5	     0             2.2360679775
206	12	     0             3.4641016151
207	11	     0             3.3166247904
208	6	     0             2.4494897428
209	8	     0             2.8284271247
210	10	     0             3.1622776602
211	2	     0             1.4142135624
212	13	     0             3.6055512755
213	8	     0             2.8284271247
214	7	     0             2.6457513111
215	7	     0             2.6457513111
216	9	     0             3
217	4	     0             2
218	10	     0             3.1622776602
219	13	     0             3.6055512755
220	9	     0             3
221	4	     0             2
222	10	     0             3.1622776602
223	3	     0             1.7320508076
224	9	     0             3
225	8	     0             2.8284271247
226	5	     0             2.2360679775
227	8	     0             2.8284271247
228	7	     0             2.6457513111
229	8	     0             2.8284271247
230	13	     0             3.6055512755
231	6	     0             2.4494897428
232	7	     0             2.6457513111
233	5	     0             2.2360679775
234	4	     0             2
235	4	     0             2
236	12	     0             3.4641016151
237	3	     0             1.7320508076
238	12	     0             3.4641016151
239	6	     0             2.4494897428
240	12	     0             3.4641016151
241	5	     0             2.2360679775
242	9	     0             3
243	6	     0             2.4494897428
244	15	     0             3.8729833462
245	4	     0             2
246	8	     0             2.8284271247
247	6	     0             2.4494897428
248	9	     0             3
249	8	     0             2.8284271247
250	5	     0             2.2360679775
251	8	     0             2.8284271247
252	6	     0             2.4494897428
253	12	     0             3.4641016151
254	6	     0             2.4494897428
255	8	     0             2.8284271247
256	6	     0             2.4494897428
257	9	     0             3
258	12	     0             3.4641016151
259	7	     0             2.6457513111
260	8	     0             2.8284271247
261	4	     0             2
262	7	     0             2.6457513111
263	6	     0             2.4494897428
264	13	     0             3.6055512755
265	12	     0             3.4641016151
266	8	     0             2.8284271247
267	8	     0             2.8284271247
268	8	     0             2.8284271247
269	15	     0             3.8729833462
270	6	     0             2.4494897428
271	4	     0             2
272	5	     0             2.2360679775
273	11	     0             3.3166247904
274	5	     0             2.2360679775
275	10	     0             3.1622776602
276	14	     0             3.7416573868
277	9	     0             3
278	10	     0             3.1622776602
279	9	     0             3
280	9	     0             3
281	8	     0             2.8284271247
282	8	     0             2.8284271247
283	15	     0             3.8729833462
284	9	     0             3
285	15	     0             3.8729833462
286	8	     0             2.8284271247
287	14	     0             3.7416573868
288	8	     0             2.8284271247
289	9	     0             3
290	12	     0             3.4641016151
291	9	     0             3
292	12	     0             3.4641016151
293	11	     0             3.3166247904
294	10	     0             3.1622776602
295	9	     0             3
296	10	     0             3.1622776602
297	13	     0             3.6055512755
298	12	     0             3.4641016151
299	7	     0             2.6457513111
300	9	     0             3
301	5	     0             2.2360679775
302	10	     0             3.1622776602
303	7	     0             2.6457513111
304	11	     0             3.3166247904
305	4	     0             2
306	5	     0             2.2360679775
307	11	     0             3.3166247904
308	10	     0             3.1622776602
309	5	     0             2.2360679775
310	8	     0             2.8284271247
311	4	     0             2
312	16	     0             4
313	8	     0             2.8284271247
314	3	     0             1.7320508076
315	13	     0             3.6055512755
316	6	     0             2.4494897428
317	11	     0             3.3166247904
318	6	     0             2.4494897428
319	8	     0             2.8284271247
320	10	     0             3.1622776602
321	7	     0             2.6457513111
322	10	     0             3.1622776602
323	7	     0             2.6457513111
324	13	     0             3.6055512755
325	7	     0             2.6457513111
326	14	     0             3.7416573868
327	4	     0             2
328	11	     0             3.3166247904
329	9	     0             3
330	7	     0             2.6457513111
331	7	     0             2.6457513111
332	10	     0             3.1622776602
333	13	     0             3.6055512755
334	7	     0             2.6457513111
335	6	     0             2.4494897428
336	6	     0             2.4494897428
337	7	     0             2.6457513111
338	8	     0             2.8284271247
339	6	     0             2.4494897428
340	6	     0             2.4494897428
341	4	     0             2
342	6	     0             2.4494897428
343	9	     0             3
344	3	     0             1.7320508076
345	9	     0             3
346	7	     0             2.6457513111
347	12	     0             3.4641016151
348	12	     0             3.4641016151
349	6	     0             2.4494897428
350	6	     0             2.4494897428
351	6	     0             2.4494897428
352	8	     0             2.8284271247
353	10	     0             3.1622776602
354	11	     0             3.3166247904
355	9	     0             3
356	9	     0             3
357	6	     0             2.4494897428
358	5	     0             2.2360679775
359	1	     0             1
360	8	     0             2.8284271247
361	4	     0             2
362	12	     0             3.4641016151
363	4	     0             2
364	7	     0             2.6457513111
365	6	     0             2.4494897428
366	9	     0             3
367	7	     0             2.6457513111
368	8	     0             2.8284271247
369	7	     0             2.6457513111
370	10	     0             3.1622776602
371	9	     0             3
372	5	     0             2.2360679775
373	10	     0             3.1622776602
374	8	     0             2.8284271247
375	7	     0             2.6457513111
376	8	     0             2.8284271247
377	8	     0             2.8284271247
378	5	     0             2.2360679775
379	9	     0             3
380	10	     0             3.1622776602
381	8	     0             2.8284271247
382	12	     0             3.4641016151
383	7	     0             2.6457513111
384	7	     0             2.6457513111
385	7	     0             2.6457513111
386	8	     0             2.8284271247
387	12	     0             3.4641016151
388	7	     0             2.6457513111
389	7	     0             2.6457513111
390	6	     0             2.4494897428
391	4	     0             2
392	10	     0             3.1622776602
393	3	     0             1.7320508076
394	6	     0             2.4494897428
395	9	     0             3
396	10	     0             3.1622776602
397	5	     0             2.2360679775
398	14	     0             3.7416573868
399	4	     0             2
400	7	     0             2.6457513111
401	12	     0             3.4641016151
402	7	     0             2.6457513111
403	5	     0             2.2360679775
404	9	     0             3
405	11	     0             3.3166247904
406	4	     0             2
407	4	     0             2
408	7	     0             2.6457513111
409	6	     0             2.4494897428
410	8	     0             2.8284271247
411	9	     0             3
412	7	     0             2.6457513111
413	2	     0             1.4142135624
414	6	     0             2.4494897428
415	7	     0             2.6457513111
416	3	     0             1.7320508076
